vehicle_1,vehicle_2,vehicle_1_route,vehicle_2_route,weighted_congestion_score
26,254,2,2,16.44940077516262
26,278,1,1,0.22067064712438936
26,282,1,1,1.2103269753838042
26,336,2,1,1.3402726977272554
26,343,2,1,6.136164602631755
26,345,1,1,2.485193722781202
26,352,1,1,0.9516683086561877
26,352,1,2,0.9511855524242967
26,372,1,2,1.9122085604173478
26,372,2,2,1.4945559544008455
26,375,2,1,0.0
26,416,1,1,2.639261584299951
26,510,1,2,1.7415166842210068
26,516,1,1,4.393583929364029
26,545,2,2,4.479152091774178
26,554,1,1,1.2397817762844001
26,554,1,2,1.2397817762844001
26,594,2,1,3.550601998726484
26,618,1,2,1.6886058164936624
26,638,2,2,2.861277163344194
26,639,1,2,0.9853785491998985
26,675,2,1,0.40232260570480033
26,712,1,1,17.177157717553026
26,712,1,2,1.5657991828917797
26,712,2,1,1.4911738197224231
26,712,2,2,3.30106286889227
26,735,1,1,1.2937170325523826
26,745,2,1,0.5014870917722871
26,780,1,1,2.2359638694085877
26,780,2,1,3.616425552599849
26,789,2,2,0.32244528782159804
26,862,2,2,0.48623164519954487
26,892,1,2,35.43859024041851
26,892,2,2,4.973024536784336
26,913,1,2,2.9618490085250726
26,945,1,2,3.562562677090563
26,945,2,2,1.525718531921155
26,976,1,1,1.041123175562712
26,976,2,2,0.44432179599517097
26,990,1,2,0.0
27,271,2,1,3.857614744904774
27,271,2,2,2.9111960336009863
27,349,2,2,0.552318633590414
28,40,1,1,0.375578135211238
28,73,1,2,2.000673655917188
28,133,2,1,0.6439735865818789
28,133,2,2,0.4113416682806874
28,190,1,1,0.689852128594573
28,249,1,1,0.5803181260185031
28,249,1,2,0.7285164627475661
28,260,2,1,0.6529807771569416
28,288,2,2,0.6428579365462593
28,368,2,1,1.3239175784169315
28,391,2,1,3.879495345224117
28,391,2,2,3.313663270401358
28,406,1,1,1.2527342327419086
28,439,2,1,0.5449224274478016
28,474,2,2,0.4339288233683882
28,520,1,2,0.6668454759415985
28,535,2,1,0.4546728932902593
28,561,2,1,2.080060648442973
28,567,2,1,2.3326561281454907
28,613,1,2,0.60206573761511
28,683,2,2,1.4139164228777346
28,727,2,1,1.2229161282601266
28,727,2,2,2.1264208741127097
28,772,1,2,0.7184581218148024
28,813,2,2,0.36672848693015103
28,824,1,1,3.282202076603345
28,825,1,1,1.7465897158720451
28,826,2,2,10.439622514610402
28,902,1,1,0.7112889245597015
28,923,1,1,0.9391020215383451
28,944,2,1,11.131781264945896
28,946,2,2,1.4197469154032143
28,979,2,2,1.761910837441409
28,986,2,1,0.9036747301108353
29,76,1,1,5.714784198381718
29,76,1,2,15.419783598254005
29,121,1,1,0.434248106562489
29,144,1,1,0.5151517865749916
29,259,1,2,0.4852788320258652
29,370,1,1,0.5570043987769848
29,370,1,2,0.5049060847592288
